author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Tim Fitzsimons,Woman of Asian descent assaulted in NYC on her way to protest anti-Asian violence - NBC News,"<ol><li>Woman of Asian descent assaulted in NYC on her way to protest anti-Asian violence  NBC News
</li><li>Man Wanted For Assault On Asian Demonstrator  CBS New York
</li><li>An Asian Woman Was Attacked on Her Way to an Anti-Hate Protest  The Cut
</li><l…",https://www.nbcnews.com/news/asian-america/woman-asian-descent-assaulted-nyc-her-way-protest-anti-asian-n1261759,https://media2.s-nbcnews.com/j/newscms/2021_12/3458693/210322-nypd-crime-stoppers-asian-attack-ew-214p_d222a0c4f26e99da6a59f2deccbd55c3.nbcnews-fp-1200-630.jpg,2021-03-22T19:50:00Z,"A woman of Asian descent was violently assaulted in New York City on Sunday while she was traveling to a protest against anti-Asian violence in what police are calling a hate crime.
The 37-year-old … [+1911 chars]",nbc-news,NBC News
Salvador Hernandez,A Man Who Allegedly Stabbed A 36-Year-Old Asian American Man Has Been Charged With Attempted Murder,"The suspect, 23-year-old Salman Muflihi, allegedly told a security guard he ""stabbed a guy"" after the violent attack, but has pleaded not guilty to the charges.View Entire Post ›",https://www.buzzfeednews.com/article/salvadorhernandez/asian-american-man-stabbing-nyc-chinatown-charges,"https://img.buzzfeed.com/buzzfeed-static/static/2021-02/27/23/enhanced/8e060f6d4bbc/original-2096-1614469993-2.jpg?crop=2509:1313;0,179",2021-02-28T00:07:33Z,"Prosecutors have charged a man accused of stabbing an Asian man in the back with second-degree attempted murder, but have filed no hate crime charges in what appeared to be a violent, unprovoked inci… [+2786 chars]",,BuzzFeed News
Aaron Katersky,New York AG sues ex-business owner for alleged racist acts against protesters,"New York Attorney General Tish James sued David Elmendorf, the former owner of Bumpy's Polar Freeze, over alleged racism during protests against his business.",https://abcnews.go.com/US/york-attorney-general-sues-business-owner-alleged-racist/story?id=76367583,https://s.abcnews.com/images/US/letita-james-file-rt-jef-210310_1615407168825_hpMain_16x9_992.jpg,2021-03-10T20:42:57Z,"With 101 different soft serve flavors, bumper boats and a 30-foot climbing wall, Bumpys Polar Freeze was something of a summertime institution for decades in Schenectady, New York.
More recently, th… [+3328 chars]",abc-news,ABC News
Nick Ellis,Marriott’s new CEO takes a stand against racism in first public comments,"One week into his new job as chief executive officer of Marriott International, Anthony “Tony” Capuano issued his first public comments in a statement entitled “Stop Asian Hate.” Mr. Capuano’s statement comes during a turbulent period for the United States, w…",http://thepointsguy.com/news/marriott-ceo-first-statement-against-racism/,https://thepointsguy.global.ssl.fastly.net/us/originals/2020/12/Marriott-in-Toronto.jpg,2021-03-02T17:00:13Z,"One week into his new job as chief executive officer of Marriott International, Anthony “Tony” Capuano issued his first public comments in a statement entitled “Stop Asian Hate.”
Mr. Capuano’s state… [+2309 chars]",,The Points Guy
editors,Hate crime charged in NYC Asian subway rider attack,"A Bronx man has been charged with a hate crime, Fox News has learned, in the alleged assault of a 68-year-old Asian subway rider in Lower Manhattan last week.",https://upstract.com/p/4n5dbvcn?ref=rss&rd=1,https://cdn.upstract.com/p/p9qet8SsMZUTKEKeW55o/4n5dbvcn/vqtjbmjpma_t.jpg,2021-03-22T22:21:04Z,,,Upstract.com
,Man arrested after Asian man stabbed in Chinatown - PIX11 News,"<ol><li>Man arrested after Asian man stabbed in Chinatown  PIX11 News
</li><li>Asian man stabbed in back in Chinatown, suspect charged with attempted murder as a hate crime  ABC News
</li><li>Attacks on Asian-Americans: A Climate of Lawlessness  City Journa…",https://www.youtube.com/watch?v=xwTa2y9OrZI,https://i.ytimg.com/vi/xwTa2y9OrZI/maxresdefault.jpg,2021-02-26T10:46:20Z,,,YouTube
Jen Chung,NYPD Investigating Beating Of Asian Man In Chinatown As A Hate Crime,"East Broadway subway station
 

The attacked took place on Tuesday night. [ more › ]",http://gothamist.com/news/nypd-investigating-beating-asian-man-chinatown-hate-crime,https://cms.prod.nypr.digital/images/317727/fill-1200x650/,2021-03-04T16:32:12Z,"A 56-year-old man was knocked unconscious outside a Manhattan subway station on Tuesday night, and the police are investigating the seemingly unprovoked attack as a hate crime.
The incident occurred… [+3092 chars]",,Gothamist
Jake Offenhartz,Woman Accused Of Anti-Asian Rant Identified As Daughter Of NY Senator Daniel Patrick Moynihan,"A woman seen in a viral Instagram video accused of harassing an Asian American couple
 

The daughter of the late New York Senator Daniel Patrick Moynihan has been accused of telling an Asian American couple to ""go back to China"" during a bigoted rant in Manh…",http://gothamist.com/news/woman-accused-anti-asian-rant-identified-daughter-ny-senator-daniel-patrick-moynihan,https://cms.prod.nypr.digital/images/318080/fill-1200x650/,2021-03-18T16:26:25Z,"The daughter of the late New York Senator Daniel Patrick Moynihan has been accused of telling an Asian American couple to ""go back to China"" during a bigoted rant in Manhattan last weekend.
Maura Mo… [+1692 chars]",,Gothamist
,Suspect 'didn't like the way' Chinatown stabbing victim looked at him - Eyewitness News ABC7NY,"<ol><li>Suspect 'didn't like the way' Chinatown stabbing victim looked at him  Eyewitness News ABC7NY
</li><li>Suspect charged with hate crime in stabbing attack against Asian man in New York City  CNN 
</li><li>Asian man stabbed in back in Chinatown, suspe…",https://www.youtube.com/watch?v=g_7HGHNF0ag,https://i.ytimg.com/vi/g_7HGHNF0ag/hqdefault.jpg,2021-02-27T01:03:36Z,,,YouTube
Isa Peralta,"Buddhist Temple Set on Fire, Vandalized in LA’s Little Tokyo",Priests and staff members are on edge after a Buddhist temple was vandalized in Los Angeles' Little Tokyo on Thursday evening.  What happened: A fire and...,https://news.yahoo.com/buddhist-temple-set-fire-vandalized-200831181.html,https://s.yimg.com/uu/api/res/1.2/_PUjkegQgYwnycJtFzJIuA--~B/aD00MjU7dz04MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/nextshark_articles_509/6af6b884c37dd33f76ab7aac12c3658d,2021-03-01T20:08:31Z,"Huge Ma built TurboVax , a bot that finds available appointments, after discovering how complicated it was to book one for his mother Huge Ma, a 31-year-old software engineer from New York created Tu… [+6225 chars]",,Yahoo Entertainment
